neighbor-districts.json,districts.csv
aizwal,aizawl
anugul,angul
ashok_nagar,ashoknagar
badgam,budgam
baleshwar,balasore
banas_kantha,banaskantha
bangalore_rural,bengaluru rural
bangalore_urban,bengaluru urban
baramula,baramulla
baudh,boudh
belgaum,belagavi
bellary,ballari
bemetara,bametara
bid,beed
bishwanath,biswanath
chamarajanagar,chamarajanagara
dantewada,dakshin bastar dantewada
debagarh,deogarh
devbhumi_dwaraka,devbhumi dwarka
dhaulpur,dholpur
east_karbi_anglong,karbi anglong
faizabad,ayodhya
fategarh_sahib,fatehgarh sahib
firozpur,ferozepur
gondiya,gondia
hugli,hooghly
jagatsinghapur,jagatsinghpur
jajapur,jajpur
jalor,jalore
jhunjhunun,jhunjhunu
jyotiba_phule_nagar,amroha
kabirdham,kabeerdham
kaimur_(bhabua),kaimur
kanchipuram,kancheepuram
kheri,lakhimpur kheri
kochbihar,cooch behar
kodarma,koderma
komram_bheem,komaram bheem
lahul_and_spiti,lahaul and spiti
mahesana,mehsana
mahrajganj,maharajganj
maldah,malda
marigaon,morigaon
muktsar,sri muktsar sahib
mumbai_city,mumbai
nandubar,nandurbar
narsimhapur,narsinghpur
nav_sari,navsari
pakaur,pakur
palghat,palakkad
panch_mahal,panchmahal
pashchim_champaran,west champaran
pashchimi_singhbhum,west singhbhum
pattanamtitta,pathanamthitta
purba_champaran,east champaran
purbi_singhbhum,east singhbhum
puruliya,purulia
rae_bareilly,rae bareli
rajauri,rajouri
rangareddy,ranga reddy
ri-bhoi,ribhoi
sabar_kantha,sabarkantha
sahibzada_ajit_singh_nagar,s.a.s. nagar
sait_kibir_nagar,sant kabir nagar
sant_ravidas_nagar,bhadohi
sepahijala,sipahijala
seraikela_kharsawan,saraikela-kharsawan
shaheed_bhagat_singh_nagar,shahid bhagat singh nagar
sharawasti,shrawasti
shimoga,shivamogga
shopian,shopiyan
siddharth_nagar,siddharthnagar
sivagangai,sivaganga
sonapur,subarnapur
south_salmara-mankachar,south salmara mankachar
sri_ganganagar,ganganagar
sri_potti_sriramulu_nellore,s.p.s. nellore
the_dangs,dang
the_nilgiris,nilgiris
thoothukudi,thoothukkudi
tiruchchirappalli,tiruchirappalli
tirunelveli_kattabo,tirunelveli
tiruvanamalai,tiruvannamalai
tumkur,tumakuru
yadagiri,yadgir
ysr,y.s.r. kadapa
